frame,x,y,glove_height_peak_leg_lift,cap_height,glove_to_person_top
0,,,,,491.0
1,,,,,491.0
2,,,,,491.0
3,,,,,491.0
4,,,,,491.0
5,,,,,491.0
6,,,,,490.0
7,,,,,490.0
8,,,,,490.0
9,,,,,490.0
10,,,,,489.0
11,,,,,489.0
12,,,,,488.0
13,,,,,488.0
14,,,,,484.0
15,,,,,483.0
16,,,,,477.0
17,,,,,482.0
18,,,,,483.0
19,,,,,483.0
20,,,,,484.0
21,,,,,482.0
22,,,,,484.0
23,,,,,484.0
24,,,,,486.0
25,,,,,487.0
26,,,,,486.0
27,,,,,489.0
28,,,,,492.0
29,,,,,492.0
30,,,,,494.0
31,,,,,494.0
32,,,,,493.0
33,,,,,493.0
34,,,,,489.0
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,174.0
45,,,,,173.0
46,,,,,131.0
47,,,,,106.0
48,,,,,97.0
49,,,,,93.0
50,,,,,86.0
51,,,,,87.0
52,,,,,87.0
53,,,,,93.0
54,,,,,103.0
55,,,,,116.0
56,,,,,132.0
57,,,,,159.0
58,,,,,158.0
59,,,,,175.0
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,38.0
68,,,,,
69,,,,,
70,,,,,308.0
71,,,,,
72,,,,,
73,,,,,
74,,,,,228.0
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,236.0
80,,,,,217.0
81,,,,,276.0
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,578.0,517.0,,,
97,,,,,
98,553.0,518.0,,,
99,,,,,
100,556.0,519.0,,,
101,,,,,
102,586.0,522.0,,,
103,,,,,
104,586.0,522.0,,,
105,,,,,
106,611.0,523.0,,,
107,,,,,
108,608.0,525.0,,,
109,,,,,
110,604.0,529.0,,,
111,,,,,
112,603.0,533.0,,,
113,,,,,
114,601.0,548.0,,,
115,,,,,
116,601.0,548.0,,,
117,,,,,
118,602.0,554.0,,,
119,,,,,
120,596.0,564.0,,,
121,,,,,
122,593.0,577.0,,,
123,,,,,
124,598.0,596.0,,,
125,,,,,
126,604.0,611.0,,,
127,,,,,
128,539.0,625.0,,,
129,,,,,
130,516.0,637.0,,,
131,,,,,
132,472.0,646.0,,,
133,,,,,
134,520.0,659.0,,,
135,,,,,
136,520.0,659.0,,,
137,,,,,
138,520.0,659.0,,,
139,,,,,
140,520.0,659.0,,,
141,,,,,
142,520.0,659.0,,,
143,,,,,
144,1075.0,430.0,,,
145,,,,,
146,1054.0,410.0,,,
147,,,,,
148,1054.0,410.0,,,
149,,,,,
150,1054.0,410.0,,,
151,,,,,
152,1054.0,410.0,,,
153,,,,,
154,417.0,129.0,,,
155,,,,,
156,419.5,140.0,,,
157,,,,,
158,425.5,190.0,,,
159,,,,,
160,425.5,190.0,,,
161,,,,,
162,428.5,225.5,,,
163,,,,,
164,428.5,225.5,,,
165,,,,,
166,428.5,225.5,,,
167,,,,,
168,428.5,225.5,,,
169,,,,,
170,428.5,225.5,,,
171,,,,,
172,428.5,225.5,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
