frame,x,y
0,6,413
1,6,413
2,6,416
3,6,414
4,6,414
5,6,413
6,6,420
7,6,419
8,6,421
9,6,420
10,6,420
11,6,419
12,6,418
13,6,418
14,6,414
15,6,416
16,6,416
17,6,412
18,6,413
19,6,411
20,6,410
21,6,415
22,83,447
23,6,409
24,6,413
25,6,412
26,6,416
27,6,410
28,6,410
29,6,413
30,6,411
31,6,415
32,6,412
33,6,414
34,6,413
35,6,411
36,6,416
37,6,417
38,6,408
39,6,408
40,6,410
41,6,409
42,6,409
43,6,409
44,6,409
45,6,408
46,6,408
47,6,408
48,6,408
49,6,408
50,6,408
51,6,408
52,6,408
53,6,408
54,6,408
55,6,408
56,6,408
57,6,408
58,6,408
59,6,409
60,6,408
61,6,408
62,6,408
63,6,409
64,6,409
65,6,409
66,6,409
67,6,410
68,6,408
69,6,409
70,6,411
71,6,412
72,6,411
73,6,409
74,6,408
75,6,408
76,6,408
77,6,407
78,6,401
79,5,408
80,6,408
81,6,407
82,6,407
83,6,408
84,6,407
85,6,408
86,6,409
87,6,410
88,6,409
89,6,409
90,6,409
91,6,409
92,6,409
93,6,409
94,6,409
95,6,409
96,6,409
97,6,409
98,6,409
99,6,409
100,6,409
101,6,409
102,6,409
